,name,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
342,Rowdy Tellez,126.0,0.0,42.0,0.0,0.0,0.0,3.0,0.0,42.0,0.219,0.285,0.42,0.706
343,Lane Thomas,42.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,0.234,0.344,0.406,0.75
344,Gleyber Torres,264.0,35.0,66.0,0.0,0.0,0.0,66.0,0.0,66.0,0.274,0.343,0.437,0.78
345,Luis Torrens,62.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,21.0,0.213,0.28,0.405,0.685
346,Ronald Torreyes,75.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.274,0.306,0.382,0.688
347,Jose Trevino,72.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,23.0,0.26,0.281,0.35,0.631
348,Mike Trout,170.0,55.0,55.0,0.0,0.0,0.0,55.0,55.0,55.0,0.301,0.437,0.633,1.07
349,Cole Tucker,63.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,21.0,0.178,0.239,0.269,0.509
350,Kyle Tucker,114.0,34.0,37.0,0.0,0.0,0.0,37.0,0.0,38.0,0.228,0.284,0.436,0.72
351,Justin Turner,259.0,65.0,65.0,0.0,0.0,0.0,64.0,0.0,65.0,0.296,0.383,0.472,0.855
352,Trea Turner,296.0,74.0,74.0,0.0,0.0,0.0,6.0,0.0,74.0,0.286,0.35,0.472,0.823
353,Justin Upton,203.0,45.0,51.0,0.0,0.0,0.0,51.0,0.0,51.0,0.231,0.311,0.436,0.747
354,Luis Urias,128.0,5.0,41.0,0.0,0.0,0.0,0.0,0.0,43.0,0.207,0.317,0.349,0.666
355,Pat Valaika,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.164,0.225,0.253,0.478
356,Breyvic Valera,30.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.238,0.293,0.282,0.575
357,Josh VanMeter,96.0,0.0,35.0,0.0,0.0,0.0,0.0,1.0,35.0,0.217,0.332,0.36,0.692
358,Daulton Varsho,58.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,18.0,0.203,0.281,0.355,0.636
359,Andrew Vaughn,61.0,1.0,20.0,0.0,0.0,0.0,1.0,0.0,20.0,0.252,0.321,0.439,0.76
360,Christian Vazquez,183.0,1.0,60.0,0.0,0.0,0.0,0.0,0.0,61.0,0.26,0.304,0.417,0.721
361,Andrew Velazquez,33.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,17.0,0.108,0.132,0.192,0.324
362,Alex Verdugo,156.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,52.0,0.294,0.348,0.477,0.825
363,Jonathan Villar,300.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,75.0,0.257,0.319,0.411,0.729
364,Stephen Vogt,93.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,31.0,0.222,0.295,0.445,0.739
365,Luke Voit,175.0,44.0,44.0,0.0,0.0,0.0,44.0,0.0,44.0,0.258,0.353,0.527,0.88
366,Joey Votto,283.0,71.0,71.0,0.0,0.0,0.0,0.0,71.0,71.0,0.256,0.358,0.417,0.775
367,LaMonte Wade,204.0,50.0,66.0,0.0,0.0,0.0,53.0,0.0,71.0,0.259,0.341,0.512,0.853
368,Tyler Wade,72.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.217,0.288,0.275,0.563
369,Christian Walker,167.0,55.0,55.0,0.0,0.0,0.0,1.0,0.0,55.0,0.251,0.319,0.453,0.772
370,Jared Walsh,98.0,1.0,32.0,0.0,0.0,0.0,32.0,0.0,32.0,0.267,0.321,0.501,0.822
371,Taylor Ward,73.0,2.0,25.0,0.0,0.0,0.0,2.0,0.0,23.0,0.201,0.266,0.353,0.62
372,Evan White,41.0,1.0,12.0,0.0,0.0,0.0,1.0,1.0,17.0,0.164,0.239,0.306,0.545
373,Justin Williams,19.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,0.196,0.31,0.318,0.629
374,Jesse Winker,165.0,55.0,55.0,0.0,0.0,0.0,2.0,0.0,55.0,0.283,0.366,0.532,0.898
375,Patrick Wisdom,69.0,1.0,23.0,0.0,0.0,0.0,22.0,0.0,23.0,0.263,0.326,0.608,0.934
376,Kolten Wong,202.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0,67.0,0.255,0.346,0.403,0.75
377,Austin Wynns,54.0,1.0,18.0,0.0,0.0,0.0,1.0,0.0,14.0,0.202,0.237,0.301,0.538
378,Mike Yastrzemski,179.0,45.0,45.0,0.0,0.0,0.0,43.0,1.0,45.0,0.248,0.332,0.483,0.815
379,Christian Yelich,257.0,68.0,68.0,0.0,0.0,0.0,59.0,68.0,68.0,0.282,0.392,0.506,0.898
380,Bradley Zimmer,75.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,25.0,0.222,0.334,0.303,0.637
381,Ryan Zimmerman,113.0,0.0,37.0,0.0,0.0,0.0,38.0,0.0,37.0,0.24,0.302,0.439,0.74
382,Mike Zunino,154.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,51.0,0.184,0.257,0.417,0.674
383,Yadiel Hernandez,40.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,0.268,0.325,0.4,0.725
384,Bryan De La Cruz,110.0,0.0,39.0,0.0,0.0,0.0,2.0,5.0,31.0,0.321,0.376,0.459,0.835
385,Andy Ibanez,37.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.228,0.269,0.357,0.625
386,Ramon Urias,46.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.248,0.314,0.387,0.702
387,Yonny Hernandez,21.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,7.0,0.258,0.341,0.289,0.631
388,Jake Meyers,27.0,3.0,8.0,0.0,0.0,1.0,8.0,0.0,7.0,0.293,0.334,0.539,0.873
389,Derek Hill,39.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,18.0,0.273,0.325,0.411,0.736
390,Gavin Sheets,28.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,9.0,0.241,0.315,0.542,0.857
391,Eli White,41.0,13.0,13.0,0.0,0.0,0.0,1.0,0.0,13.0,0.2,0.275,0.312,0.586
392,Frank Schwindel,44.0,10.0,22.0,0.0,0.0,0.0,10.0,0.0,10.0,0.34,0.389,0.61,0.999
