,name,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
194,Michael Kopech,0.0,0.0,3.054,5.9,7.0,8.0,1.0,0.0,12.0,1.11
195,Jackson Kowar,0.0,0.0,3.56,15.2,13.0,7.0,2.0,6.0,14.0,1.06
196,Ian Krol,0.0,0.0,6.787,2.7,5.0,3.0,0.0,0.0,5.0,2.01
197,Chad Kuhl,0.0,0.0,4.461,32.6,31.0,17.0,8.0,16.0,35.0,1.39
198,Travis Lakins,0.0,0.0,6.395,10.6,15.0,16.0,0.0,15.0,13.0,1.52
199,Dinelson Lamet,0.0,0.0,4.001,19.9,27.0,12.0,2.0,9.0,27.0,1.57
200,Eric Lauer,0.0,1.0,4.838,60.8,66.0,39.0,12.0,26.0,53.0,1.44
201,Wade LeBlanc,0.0,0.0,6.522,43.1,47.0,25.0,12.0,13.0,36.0,1.31
202,Dominic Leone,0.0,0.0,3.763,16.8,21.0,0.0,0.0,1.0,21.0,1.22
203,Jon Lester,1.0,0.0,3.596,84.4,96.0,44.0,16.0,32.0,74.0,1.29
204,Zack Littell,0.0,0.0,3.86,17.0,17.0,1.0,0.0,1.0,16.0,1.35
205,Jonathan Loaisiga,0.0,0.0,2.686,20.2,16.0,13.0,0.0,13.0,27.0,1.05
206,Jorge Lopez,0.0,2.0,5.999,54.0,64.0,38.0,15.0,18.0,46.0,1.52
207,Pablo Lopez,0.0,0.0,3.365,53.0,50.0,22.0,7.0,20.0,49.0,1.15
208,Reynaldo Lopez,0.0,0.0,4.097,62.1,55.0,24.0,10.0,24.0,56.0,1.24
209,Michael Lorenzen,0.0,0.0,3.074,31.5,25.0,19.0,0.0,23.0,25.0,1.33
210,Aaron Loup,0.0,0.0,2.555,14.2,23.0,0.0,0.0,0.0,23.0,1.16
211,Joey Lucchesi,-19.0,4.0,21.847,-348.8,-66.0,-106.0,-60.0,-159.0,-249.0,10.35
212,Lucas Luetge,0.0,0.0,2.743,8.9,9.0,0.0,0.0,0.0,9.0,1.06
213,Seth Lugo,0.0,0.0,3.083,39.8,26.0,21.0,0.0,0.0,53.0,1.12
214,Jesus Luzardo,0.0,1.0,7.483,18.7,25.0,20.0,6.0,13.0,17.0,1.81
215,Jordan Lyles,0.0,1.0,4.817,70.5,72.0,37.0,17.0,33.0,68.0,1.34
